,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,14296139,581,336,12,6000,1800
60#77#26,14296139,581,336,12,6000,1800
65#91#135,14296139,581,336,12,6000,1800
146#20#124,14296139,581,336,12,6000,1800
82#38#101,14296139,581,336,12,6000,1800
58#94#96,14296139,581,336,12,6000,1800
118#95#68,14296139,581,336,12,6000,1800
146#8#109,14296139,581,336,12,6000,1800
115#143#119,14296139,581,336,12,6000,1800
121#68#135,14296139,581,336,12,6000,1800
66#74#47,14296139,581,336,12,6000,1800
27#134#63,14296139,581,336,12,6000,1800
53#2#133,14296139,581,336,12,6000,1800
92#120#123,14296139,581,336,12,6000,1800
133#106#77,14296139,581,336,12,6000,1800
19#102#10,14296139,581,336,12,6000,1800
46#31#114,HBC004677857,134,2490,12,6000,1800
11#133#30,HBC004677857,134,2490,12,6000,1800
38#66#25,HBC004677899,134,2490,12,6000,1800
42#107#107,HBC004677899,134,2490,12,6000,1800
35#62#6,13322983,1269,333.04,12,6000,1800
74#21#4,13327066,1277,335.14,12,6000,1800
98#149#46,12727743,902.1,255.01,12,6000,1800
96#3#54,12740000,892.1,255.01,12,6000,1800
51#52#110,HBC005493226,605,271,12,6000,1800
122#70#73,HBC005493226,605,271,12,6000,1800
28#33#139,HBC005493226,605,271,12,6000,1800
140#19#88,HBC005493226,605,271,12,6000,1800
138#74#7,HBC005493226,605,271,12,6000,1800
3#120#28,HBC005493226,605,271,12,6000,1800
19#54#37,HBC005493226,605,271,12,6000,1800
146#42#59,HBC005493226,605,271,12,6000,1800
135#91#149,HBC005493226,605,271,12,6000,1800
140#85#33,HBC005493226,605,271,12,6000,1800
84#14#5,HBC005493226,605,271,12,6000,1800
155#23#131,HBC005493226,605,271,12,6000,1800
107#109#26,HBC005493210,690,480,12,6000,1800
53#66#98,HBC005493210,690,480,12,6000,1800
117#148#134,HBC005493210,690,480,12,6000,1800
97#85#59,HBC005493210,690,480,12,6000,1800
28#6#70,HBC005493205,690,480,12,6000,1800
9#73#36,HBC005493205,690,480,12,6000,1800
104#133#138,HBC005493205,690,480,12,6000,1800
69#106#124,HBC005493205,690,480,12,6000,1800
90#16#110,14362499,314,581.08,12,6000,1800
140#80#33,14364532,610,148,12,6000,1800
17#88#105,10467135,267,143.98,12,6000,1800
127#68#93,12925997,90,340,12,6000,1800
62#128#141,12925997,90,340,12,6000,1800
68#13#131,12925997,90,340,12,6000,1800
55#116#128,13996924,50,185,12,6000,1800
35#112#142,13996924,50,185,12,6000,1800
23#50#38,13382749,35,170,12,6000,1800
143#2#121,13382749,35,170,12,6000,1800
10#94#150,A820101111206,80,70,12,6000,1800
148#50#52,A820101111206,80,70,12,6000,1800
57#21#117,A820101356776,75,64,12,6000,1800
78#72#147,A820101356776,75,64,12,6000,1800
126#46#142,12727741,30,49,12,6000,1800
147#44#16,12727741,30,49,12,6000,1800
