color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.0, 38.0)","(0, 0)",0,0,2,-0.0,5330.0,121.0,1318.0,224.0,5329.5,120.5,13094465,1
60#77#26,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.0, -38.0)","(0, 0)",0,0,2,-0.0,5330.5,371.0,1318.0,224.0,5330.0,370.5,13094465,0
146#20#124,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.0, 38.0)","(0, 0)",0,0,2,-0.0,5330.5,603.0,1318.0,224.0,5330.0,602.5,13094465,1
82#38#101,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.0, -38.0)","(0, 0)",0,0,2,-0.0,5330.5,854.0,1318.0,224.0,5330.0,853.5,13094465,0
118#95#68,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.0, 38.0)","(0, 0)",0,0,2,-0.0,5330.5,1086.0,1318.0,224.0,5330.0,1085.5,13094465,1
146#8#109,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.0, -38.0)","(0, 0)",0,0,2,-0.0,5330.5,1337.0,1318.0,224.0,5330.0,1336.5,13094465,0
121#68#135,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.0, 38.0)","(0, 0)",0,0,2,-0.0,3992.0,121.0,1318.0,224.0,3991.5,120.5,13094465,1
66#74#47,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.0, -38.0)","(0, 0)",0,0,2,-0.0,3992.5,371.0,1318.0,224.0,3992.0,370.5,13094465,0
53#2#133,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.0, 38.0)","(0, 0)",0,0,2,-0.0,3992.5,603.0,1318.0,224.0,3992.0,602.5,13094465,1
92#120#123,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.0, -38.0)","(0, 0)",0,0,2,-0.0,3992.5,854.0,1318.0,224.0,3992.0,853.5,13094465,0
46#31#114,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50.0, 38.0)","(0, 0)",0,0,2,-0.0,3992.5,1086.0,1318.0,224.0,3992.0,1085.5,13094465,1
11#133#30,0,0,15,56,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.0, -38.0)","(0, 0)",0,0,2,-0.0,3992.5,1337.0,1318.0,224.0,3992.0,1336.5,13094465,0
65#91#135,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,5335.0001220703125,249.0001220703125,1046.999755859375,199.99996948242188,5334.5,248.5,13529529,0
58#94#96,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,5335.0001220703125,732.0,1046.999755859375,199.99996948242188,5334.5,731.5,13529529,0
115#143#119,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,5335.0001220703125,1215.0,1046.999755859375,199.99996948242188,5334.5,1214.5,13529529,0
27#134#63,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,3997.000244140625,249.0001220703125,1046.999755859375,199.99996948242188,3996.5,248.5,13529529,0
133#106#77,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,3997.000244140625,732.0,1046.999755859375,199.99996948242188,3996.5,731.5,13529529,0
38#66#25,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,3997.000244140625,1215.0,1046.999755859375,199.99996948242188,3996.5,1214.5,13529529,0
69#106#124,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,5466.0001220703125,1632.0000305175781,1046.999755859375,199.99996948242188,5465.5,1631.5,13529529,0
19#102#10,126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.4998779296875, 72.0)","(0, 0)",0,0,2,-0.0,4400.000244140625,1634.0000305175781,1046.999755859375,199.99996948242188,4399.5,1633.5,13529529,0
