,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,13094465,1320,222,12,6000,1800
60#77#26,13094465,1320,222,12,6000,1800
146#20#124,13094465,1320,222,12,6000,1800
65#91#135,13529529,1048,198,12,6000,1800
82#38#101,13529529,1048,198,12,6000,1800
27#134#63,13529529,1048,198,12,6000,1800
58#94#96,11519035,815,506.66,12,6000,1800
146#8#109,11519035,815,506.66,12,6000,1800
121#68#135,11519035,815,506.66,12,6000,1800
118#95#68,11519040,815,506.66,12,6000,1800
115#143#119,11519040,815,506.66,12,6000,1800
66#74#47,11519040,815,506.66,12,6000,1800
53#2#133,13094464,57,728,12,6000,1800
92#120#123,13094464,57,728,12,6000,1800
133#106#77,13094464,57,728,12,6000,1800
46#31#114,13094464,57,728,12,6000,1800
11#133#30,13094464,57,728,12,6000,1800
38#66#25,13094464,57,728,12,6000,1800
42#107#107,13094464,57,728,12,6000,1800
35#62#6,13094464,57,728,12,6000,1800
74#21#4,13094464,57,728,12,6000,1800
98#149#46,13094464,57,728,12,6000,1800
96#3#54,13094464,57,728,12,6000,1800
51#52#110,13094464,57,728,12,6000,1800
122#70#73,13094464,57,728,12,6000,1800
28#33#139,13094464,57,728,12,6000,1800
140#19#88,13094464,57,728,12,6000,1800
138#74#7,13094464,57,728,12,6000,1800
3#120#28,13094464,57,728,12,6000,1800
19#54#37,13094464,57,728,12,6000,1800
146#42#59,13094464,57,728,12,6000,1800
135#91#149,13094464,57,728,12,6000,1800
140#85#33,13094464,57,728,12,6000,1800
84#14#5,13094464,57,728,12,6000,1800
155#23#131,13094464,57,728,12,6000,1800
107#109#26,13094464,57,728,12,6000,1800
53#66#98,13094464,57,728,12,6000,1800
117#148#134,13094464,57,728,12,6000,1800
97#85#59,13094464,57,728,12,6000,1800
28#6#70,13094464,57,728,12,6000,1800
9#73#36,13094464,57,728,12,6000,1800
104#133#138,13094464,57,728,12,6000,1800
69#106#124,13094464,57,728,12,6000,1800
19#102#10,13094464,57,728,12,6000,1800
90#16#110,13094464,57,728,12,6000,1800
140#80#33,13094464,57,728,12,6000,1800
17#88#105,13094464,57,728,12,6000,1800
127#68#93,13094464,57,728,12,6000,1800
62#128#141,13094464,57,728,12,6000,1800
68#13#131,13094464,57,728,12,6000,1800
55#116#128,13094464,57,728,12,6000,1800
35#112#142,13094464,57,728,12,6000,1800
23#50#38,13094464,57,728,12,6000,1800
143#2#121,13094464,57,728,12,6000,1800
10#94#150,13094464,57,728,12,6000,1800
148#50#52,13094464,57,728,12,6000,1800
57#21#117,13094464,57,728,12,6000,1800
78#72#147,13094464,57,728,12,6000,1800
126#46#142,13094464,57,728,12,6000,1800
147#44#16,13094464,57,728,12,6000,1800
113#113#75,13094464,57,728,12,6000,1800
121#31#103,13094464,57,728,12,6000,1800
106#73#73,13094464,57,728,12,6000,1800
18#79#111,13094464,57,728,12,6000,1800
19#29#104,13094464,57,728,12,6000,1800
119#128#28,13094464,57,728,12,6000,1800
9#24#42,13094464,57,728,12,6000,1800
30#75#117,13094464,57,728,12,6000,1800
82#130#2,13094464,57,728,12,6000,1800
18#152#47,13094464,57,728,12,6000,1800
71#31#128,13094464,57,728,12,6000,1800
131#29#81,13094464,57,728,12,6000,1800
115#149#111,13094464,57,728,12,6000,1800
94#118#99,13094464,57,728,12,6000,1800
64#83#50,13094464,57,728,12,6000,1800
48#24#76,13094464,57,728,12,6000,1800
37#112#89,13094464,57,728,12,6000,1800
69#100#138,13094464,57,728,12,6000,1800
129#116#86,13094464,57,728,12,6000,1800
37#125#129,13094464,57,728,12,6000,1800
127#117#22,13094464,57,728,12,6000,1800
72#9#125,13094464,57,728,12,6000,1800
51#27#82,13094464,57,728,12,6000,1800
7#142#81,13094464,57,728,12,6000,1800
37#48#138,13094464,57,728,12,6000,1800
101#48#85,13094464,57,728,12,6000,1800
20#155#66,13094464,57,728,12,6000,1800
52#23#123,13094464,57,728,12,6000,1800
21#151#44,13094464,57,728,12,6000,1800
107#132#144,13094464,57,728,12,6000,1800
126#144#90,13094464,57,728,12,6000,1800
139#46#31,13094464,57,728,12,6000,1800
136#131#138,13094464,57,728,12,6000,1800
94#80#101,13094464,57,728,12,6000,1800
49#109#95,13094464,57,728,12,6000,1800
91#147#11,13094464,57,728,12,6000,1800
103#97#51,13094464,57,728,12,6000,1800
37#117#116,13094464,57,728,12,6000,1800
148#49#138,13094464,57,728,12,6000,1800
37#91#43,13094464,57,728,12,6000,1800
116#55#19,13094464,57,728,12,6000,1800
5#50#58,13094464,57,728,12,6000,1800
