,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,TPJ004861729,4317,665,12,6000,1800
60#77#26,TPJ004861729,4317,665,12,6000,1800
65#91#135,BCB004745014,590,296,12,6000,1800
146#20#124,BCB004745014,590,296,12,6000,1800
82#38#101,BCB004745014,590,296,12,6000,1800
58#94#96,HBC005493226,605,271,12,6000,1800
118#95#68,HBC005493226,605,271,12,6000,1800
146#8#109,HBC005493226,605,271,12,6000,1800
115#143#119,HBC005493226,605,271,12,6000,1800
121#68#135,HBC005493226,605,271,12,6000,1800
66#74#47,HBC005493226,605,271,12,6000,1800
27#134#63,14362404,200,792,12,6000,1800
53#2#133,14362405,200,792,12,6000,1800
92#120#123,TPJ004861489,200,544.74,12,6000,1800
133#106#77,TPJ004861495,200,544.06,12,6000,1800
46#31#114,14235291,191,325,12,6000,1800
11#133#30,14235291,191,325,12,6000,1800
38#66#25,13392405,250.21,152.97,12,6000,1800
42#107#107,13392405,250.21,152.97,12,6000,1800
35#62#6,13392406,249.77,128.45,12,6000,1800
74#21#4,13392406,249.77,128.45,12,6000,1800
