,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,13094465,1320,222,12,6000,1800
60#77#26,13094465,1320,222,12,6000,1800
146#20#124,13094465,1320,222,12,6000,1800
82#38#101,13094465,1320,222,12,6000,1800
118#95#68,13094465,1320,222,12,6000,1800
146#8#109,13094465,1320,222,12,6000,1800
121#68#135,13094465,1320,222,12,6000,1800
66#74#47,13094465,1320,222,12,6000,1800
53#2#133,13094465,1320,222,12,6000,1800
92#120#123,13094465,1320,222,12,6000,1800
46#31#114,13094465,1320,222,12,6000,1800
11#133#30,13094465,1320,222,12,6000,1800
65#91#135,13529529,1048,198,12,6000,1800
58#94#96,13529529,1048,198,12,6000,1800
115#143#119,13529529,1048,198,12,6000,1800
27#134#63,13529529,1048,198,12,6000,1800
133#106#77,13529529,1048,198,12,6000,1800
38#66#25,13529529,1048,198,12,6000,1800
69#106#124,13529529,1048,198,12,6000,1800
19#102#10,13529529,1048,198,12,6000,1800
90#16#110,13529529,1048,198,12,6000,1800
140#80#33,13529529,1048,198,12,6000,1800
17#88#105,13529529,1048,198,12,6000,1800
127#68#93,13529529,1048,198,12,6000,1800
42#107#107,11519035,815,506.66,12,6000,1800
74#21#4,11519035,815,506.66,12,6000,1800
96#3#54,11519035,815,506.66,12,6000,1800
122#70#73,11519035,815,506.66,12,6000,1800
140#19#88,11519035,815,506.66,12,6000,1800
3#120#28,11519035,815,506.66,12,6000,1800
146#42#59,11519035,815,506.66,12,6000,1800
140#85#33,11519035,815,506.66,12,6000,1800
155#23#131,11519035,815,506.66,12,6000,1800
53#66#98,11519035,815,506.66,12,6000,1800
97#85#59,11519035,815,506.66,12,6000,1800
9#73#36,11519035,815,506.66,12,6000,1800
35#62#6,11519040,815,506.66,12,6000,1800
98#149#46,11519040,815,506.66,12,6000,1800
51#52#110,11519040,815,506.66,12,6000,1800
28#33#139,11519040,815,506.66,12,6000,1800
138#74#7,11519040,815,506.66,12,6000,1800
19#54#37,11519040,815,506.66,12,6000,1800
135#91#149,11519040,815,506.66,12,6000,1800
84#14#5,11519040,815,506.66,12,6000,1800
107#109#26,11519040,815,506.66,12,6000,1800
117#148#134,11519040,815,506.66,12,6000,1800
28#6#70,11519040,815,506.66,12,6000,1800
104#133#138,11519040,815,506.66,12,6000,1800
62#128#141,13094464,57,728,12,6000,1800
68#13#131,13094464,57,728,12,6000,1800
55#116#128,13094464,57,728,12,6000,1800
35#112#142,13094464,57,728,12,6000,1800
23#50#38,13094464,57,728,12,6000,1800
143#2#121,13094464,57,728,12,6000,1800
10#94#150,13094464,57,728,12,6000,1800
148#50#52,13094464,57,728,12,6000,1800
57#21#117,13094464,57,728,12,6000,1800
78#72#147,13094464,57,728,12,6000,1800
