,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,13327066,1277,335.14,12,6000,1800
60#77#26,13322983,1269,333.04,12,6000,1800
65#91#135,BCB004745014,590,296,12,6000,1800
146#20#124,BCB004745014,590,296,12,6000,1800
82#38#101,BCB004745014,590,296,12,6000,1800
58#94#96,BCB004745014,590,296,12,6000,1800
118#95#68,BCB004745014,590,296,12,6000,1800
146#8#109,BCB004745014,590,296,12,6000,1800
115#143#119,BCB004745014,590,296,12,6000,1800
121#68#135,BCB004745014,590,296,12,6000,1800
66#74#47,BCB004745014,590,296,12,6000,1800
27#134#63,BCB004745014,590,296,12,6000,1800
53#2#133,BCB004745014,590,296,12,6000,1800
92#120#123,BCB004745014,590,296,12,6000,1800
133#106#77,BCB004745014,590,296,12,6000,1800
46#31#114,BCB004745014,590,296,12,6000,1800
11#133#30,BCB004745014,590,296,12,6000,1800
38#66#25,HBC005493226,605,271,12,6000,1800
42#107#107,HBC005493226,605,271,12,6000,1800
35#62#6,HBC005493226,605,271,12,6000,1800
74#21#4,HBC005493226,605,271,12,6000,1800
98#149#46,HBC005493203,569.1,299.99,12,6000,1800
51#52#110,HBC005493203,569.1,299.99,12,6000,1800
28#33#139,HBC005493203,569.1,299.99,12,6000,1800
138#74#7,HBC005493203,569.1,299.99,12,6000,1800
96#3#54,HBC005493207,569.1,299.99,12,6000,1800
122#70#73,HBC005493207,569.1,299.99,12,6000,1800
140#19#88,HBC005493207,569.1,299.99,12,6000,1800
3#120#28,HBC005493207,569.1,299.99,12,6000,1800
19#54#37,14296139,581,336,12,6000,1800
146#42#59,14296139,581,336,12,6000,1800
135#91#149,14296139,581,336,12,6000,1800
140#85#33,14296139,581,336,12,6000,1800
84#14#5,14296139,581,336,12,6000,1800
155#23#131,13740026,250,423,12,6000,1800
107#109#26,13740026,250,423,12,6000,1800
53#66#98,13740026,250,423,12,6000,1800
117#148#134,14091828,446,255,12,6000,1800
97#85#59,14091828,446,255,12,6000,1800
28#6#70,14091828,446,255,12,6000,1800
9#73#36,14091828,446,255,12,6000,1800
104#133#138,13322984,513,237,12,6000,1800
19#102#10,13322984,513,237,12,6000,1800
140#80#33,13322984,513,237,12,6000,1800
69#106#124,13327070,513,237,12,6000,1800
90#16#110,13327070,513,237,12,6000,1800
17#88#105,13327070,513,237,12,6000,1800
127#68#93,14362499,314,581.08,12,6000,1800
62#128#141,14362499,314,581.08,12,6000,1800
68#13#131,14362499,314,581.08,12,6000,1800
55#116#128,14362499,314,581.08,12,6000,1800
35#112#142,13739478,180,420,12,6000,1800
23#50#38,13739478,180,420,12,6000,1800
143#2#121,13739478,180,420,12,6000,1800
10#94#150,13740028,160,420,12,6000,1800
148#50#52,13740028,160,420,12,6000,1800
57#21#117,13740028,160,420,12,6000,1800
78#72#147,14362497,314,581.08,12,6000,1800
126#46#142,14362497,314,581.08,12,6000,1800
147#44#16,13739475,150,430,12,6000,1800
113#113#75,13739475,150,430,12,6000,1800
121#31#103,13739475,150,430,12,6000,1800
106#73#73,14153315,303.6,312.03,12,6000,1800
18#79#111,14153315,303.6,312.03,12,6000,1800
19#29#104,14153315,303.6,312.03,12,6000,1800
119#128#28,10467135,267,143.98,12,6000,1800
9#24#42,10467135,267,143.98,12,6000,1800
30#75#117,10467137,267,143.98,12,6000,1800
71#31#128,10467137,267,143.98,12,6000,1800
131#29#81,10467137,267,143.98,12,6000,1800
82#130#2,HBC004677872,204,355,12,6000,1800
18#152#47,HBC004677872,204,355,12,6000,1800
115#149#111,13606616,335,170,12,6000,1800
