color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,3,96,191,15,0,0,0,0,0,0,0,0,0,0,0,0,"(20.5, -25.0)","(0, 0)",0,0,2,-0.0,5342.5,1640.0,1691.999755859375,298.99993896484375,5342.0,1639.5,10772142,1
60#77#26,124,191,1,48,0,0,0,0,0,0,0,0,0,0,0,0,"(-20.5, 25.0)","(0, 0)",0,0,2,-0.0,3837.0,1640.0,1691.999755859375,298.99993896484375,3836.5,1639.5,10772142,0
65#91#135,3,96,191,15,0,0,0,0,0,0,0,0,0,0,0,0,"(20.5, -25.0)","(0, 0)",0,0,2,-0.0,2347.5,1630.5,1691.999755859375,298.99993896484375,2347.0,1630.0,10772142,1
146#20#124,124,191,1,48,0,0,0,0,0,0,0,0,0,0,0,0,"(-20.5, 25.0)","(0, 0)",0,0,2,-0.0,858.5,1640.0,1691.999755859375,298.99993896484375,858.0,1639.5,10772142,0
82#38#101,3,96,191,15,0,0,0,0,0,0,0,0,0,0,0,0,"(20.5, -25.0)","(0, 0)",0,0,2,-0.0,5342.5,1330.5,1691.999755859375,298.99993896484375,5342.0,1330.0,10772142,1
58#94#96,124,191,1,48,0,0,0,0,0,0,0,0,0,0,0,0,"(-20.5, 25.0)","(0, 0)",0,0,2,-0.0,3837.0,1330.5,1691.999755859375,298.99993896484375,3836.5,1330.0,10772142,0
118#95#68,3,96,191,15,0,0,0,0,0,0,0,0,0,0,0,0,"(20.5, -25.0)","(0, 0)",0,0,2,-0.0,2347.5,1321.0,1691.999755859375,298.99993896484375,2347.0,1320.5,10772142,1
146#8#109,124,191,1,48,0,0,0,0,0,0,0,0,0,0,0,0,"(-20.5, 25.0)","(0, 0)",0,0,2,-0.0,858.5,1330.5,1691.999755859375,298.99993896484375,858.0,1330.0,10772142,0
115#143#119,3,96,191,15,0,0,0,0,0,0,0,0,0,0,0,0,"(20.5, -25.0)","(0, 0)",0,0,2,0.0,5342.5001220703125,1020.5001220703125,1691.999755859375,298.99993896484375,5342.0,1020.0,10772142,1
121#68#135,124,191,1,48,0,0,0,0,0,0,0,0,0,0,0,0,"(-20.5, 25.0)","(0, 0)",0,0,2,-0.0,3837.0,1020.5,1691.999755859375,298.99993896484375,3836.5,1020.0,10772142,0
66#74#47,3,96,191,15,0,0,0,0,0,0,0,0,0,0,0,0,"(20.5, -25.0)","(0, 0)",0,0,2,-0.0,2347.5,1011.5,1691.999755859375,298.99993896484375,2347.0,1011.0,10772142,1
27#134#63,124,191,1,48,0,0,0,0,0,0,0,0,0,0,0,0,"(-20.5, 25.0)","(0, 0)",0,0,2,-0.0,858.5,1020.5,1691.999755859375,298.99993896484375,858.0,1020.0,10772142,0
53#2#133,15,112,62,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-29.5, -27.0)","(0, 0)",0,0,2,-0.0,5381.5,160.0,1615.0,300.0,5381.0,159.5,10772124,1
92#120#123,62,159,3,60,0,0,0,0,0,0,0,0,0,0,0,0,"(29.5, 27.0)","(0, 0)",0,0,2,-0.0,3802.0,160.0,1615.0,300.0,3801.5,159.5,10772124,0
133#106#77,15,112,62,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-29.5, -27.0)","(0, 0)",0,0,2,-0.0,5381.5,423.0,1615.0,300.0,5381.0,422.5,10772124,1
46#31#114,15,112,62,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-29.5, -27.0)","(0, 0)",0,0,2,-0.0,5381.5,687.0,1615.0,300.0,5381.0,686.5,10772124,1
11#133#30,62,159,3,60,0,0,0,0,0,0,0,0,0,0,0,0,"(29.5, 27.0)","(0, 0)",0,0,2,-0.0,3802.0,423.0,1615.0,300.0,3801.5,422.5,10772124,0
38#66#25,62,159,3,60,0,0,0,0,0,0,0,0,0,0,0,0,"(29.5, 27.0)","(0, 0)",0,0,2,-0.0,3837.0,687.0,1615.0,300.0,3836.5,686.5,10772124,0
42#107#107,15,112,62,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-29.5, -27.0)","(0, 0)",0,0,2,-0.0,2323.0,181.0,1615.0,300.0,2322.5,180.5,10772124,1
35#62#6,15,112,62,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-29.5, -27.0)","(0, 0)",0,0,2,-0.0,2323.0,444.5,1615.0,300.0,2322.5,444.0,10772124,1
74#21#4,15,112,62,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-29.5, -27.0)","(0, 0)",0,0,2,-0.0,2323.0,708.0,1615.0,300.0,2322.5,707.5,10772124,1
98#149#46,62,159,3,60,0,0,0,0,0,0,0,0,0,0,0,0,"(29.5, 27.0)","(0, 0)",0,0,2,-0.0,819.5,160.0,1615.0,300.0,819.0,159.5,10772124,0
96#3#54,62,159,3,60,0,0,0,0,0,0,0,0,0,0,0,0,"(29.5, 27.0)","(0, 0)",0,0,2,-0.0,819.5,423.0,1615.0,300.0,819.0,422.5,10772124,0
51#52#110,62,159,3,60,0,0,0,0,0,0,0,0,0,0,0,0,"(29.5, 27.0)","(0, 0)",0,0,2,-0.0,832.0,711.0,1615.0,300.0,831.5,710.5,10772124,0
