,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,TPJ004861497,2306.5,286.67,6,6000,1800
60#77#26,TPJ004861499,2306.5,286.67,6,6000,1800
65#91#135,TPJ004861598,1850,165.81,6,6000,1800
146#20#124,13391334,1717,436.67,6,6000,1800
82#38#101,13391336,1703,436.67,6,6000,1800
58#94#96,13391330,1703,98.34,6,6000,1800
118#95#68,13391342,1703,98.34,6,6000,1800
146#8#109,13391341,1718,98.34,6,6000,1800
115#143#119,13391340,1718,98.34,6,6000,1800
121#68#135,TPJ004861773,776,148.34,6,6000,1800
66#74#47,13391958,767.29,569.96,6,6000,1800
27#134#63,TPJ004861770,452,225.84,6,6000,1800
53#2#133,13392410,194,106.11,6,6000,1800
92#120#123,13392410,194,106.11,6,6000,1800
133#106#77,TPJ004861634,37,335,6,6000,1800
46#31#114,13391959,240,170,6,6000,1800
11#133#30,11137323,115.3,95,6,6000,1800
38#66#25,TPJ005936065,37,222,6,6000,1800
42#107#107,13392412,45,300,6,6000,1800
35#62#6,13392412,45,300,6,6000,1800
74#21#4,TPJ004861637,37,200,6,6000,1800
98#149#46,HBC005493227,20,271,6,6000,1800
96#3#54,HBC005493227,20,271,6,6000,1800
51#52#110,HBC005493227,20,271,6,6000,1800
122#70#73,HBC005493227,20,271,6,6000,1800
28#33#139,HBC005493227,20,271,6,6000,1800
140#19#88,HBC005493227,20,271,6,6000,1800
138#74#7,HBC005493227,20,271,6,6000,1800
3#120#28,HBC005493227,20,271,6,6000,1800
19#54#37,HBC005493227,20,271,6,6000,1800
146#42#59,HBC005493227,20,271,6,6000,1800
135#91#149,HBC005493227,20,271,6,6000,1800
140#85#33,HBC005493227,20,271,6,6000,1800
84#14#5,13391069,30,88,6,6000,1800
155#23#131,13391069,30,88,6,6000,1800
