color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,158,204,255,251,227,15,0,0,127,239,255,255,17,0,0,0,"(-1504.5, -248.0)","(569.5, -346.0)",0,0,3,-0.0,4613.0,646.0,4743.0,1272.0,4612.5,645.5,14196838,1
60#77#26,255,255,189,63,32,14,0,0,247,255,76,222,31,15,0,0,"(-569.5, 346.0)","(1504.5, 248.0)",0,0,3,-0.0,5115.0,706.0,4743.0,1272.0,5114.5,705.5,14196838,0
65#91#135,255,255,189,63,32,14,0,0,247,255,76,222,31,15,0,0,"(-569.5, 346.0)","(1504.5, 248.0)",0,0,3,-0.0,5618.0,1541.0,4743.0,1272.0,5617.5,1540.5,14196838,0
146#20#124,247,255,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(0.5, -17.0)","(0, 0)",0,0,2,1.0349884033203125,1749.2861328125,1831.1714477539062,3079.0,308.0,1750.0,1842.0,11227863,0
82#38#101,255,255,255,59,0,0,0,0,0,0,0,0,0,0,0,0,"(-0.5, 17.0)","(0, 0)",0,0,2,1.0360870361328125,1750.7138671875,2071.8666229248047,3079.0,308.0,1749.0,2060.0,11227863,1
58#94#96,255,247,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(6.5, -17.0)","(0, 0)",0,0,2,-1.0360873937606812,4006.69580078125,1516.1337280273438,3079.0,308.0,4005.0,1527.0,11227863,3
118#95#68,240,15,248,7,0,0,0,0,0,0,0,0,0,0,0,0,"(362.0001220703125, -1.0)","(0, 0)",0,0,2,1.9749298095703125,1294.62841796875,186.76318359375,1861.999755859375,401.99993896484375,1295.0,213.5,11227903,0
146#8#109,248,7,252,3,0,0,0,0,0,0,0,0,0,0,0,0,"(-362.0001220703125, 1.0)","(0, 0)",0,0,2,2.0333251953125,1296.2060546875,523.365234375,1861.999755859375,401.99993896484375,1295.0,495.0,11227903,1
115#143#119,240,15,248,7,0,0,0,0,0,0,0,0,0,0,0,0,"(362.0001220703125, -1.0)","(0, 0)",0,0,2,1.9749298095703125,1294.611328125,864.2626953125,1861.999755859375,401.99993896484375,1295.0,891.0,11227903,0
121#68#135,252,35,254,25,0,0,0,0,0,0,0,0,0,0,0,0,"(-43.5, 0.0)","(0, 0)",0,0,2,-0.0,1723.0,1286.0,1015.0,254.0,1722.5,1285.5,14486715,0
66#74#47,252,35,254,25,0,0,0,0,0,0,0,0,0,0,0,0,"(-43.5, 0.0)","(0, 0)",0,0,2,-0.0,1723.0,1553.0,1015.0,254.0,1722.5,1552.5,14486715,0
27#134#63,252,35,254,25,0,0,0,0,0,0,0,0,0,0,0,0,"(-43.5, 0.0)","(0, 0)",0,0,2,-0.0,689.0,1533.0,1015.0,254.0,688.5,1532.5,14486715,0
