,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,13321336,242,1624,30,6200,1800
60#77#26,13321336,242,1624,30,6200,1800
146#20#124,13321336,242,1624,30,6200,1800
82#38#101,13321336,242,1624,30,6200,1800
118#95#68,13321336,242,1624,30,6200,1800
146#8#109,13321336,242,1624,30,6200,1800
121#68#135,13321336,242,1624,30,6200,1800
66#74#47,13321336,242,1624,30,6200,1800
107#109#26,13321336,242,1624,30,6200,1800
65#91#135,12925995,130,1368,30,6200,1800
58#94#96,12925995,130,1368,30,6200,1800
115#143#119,12925995,130,1368,30,6200,1800
27#134#63,12925995,130,1368,30,6200,1800
53#2#133,13321326,175,1624,30,6200,1800
92#120#123,13321326,175,1624,30,6200,1800
38#66#25,13321326,175,1624,30,6200,1800
42#107#107,13321326,175,1624,30,6200,1800
51#52#110,13321326,175,1624,30,6200,1800
122#70#73,13321326,175,1624,30,6200,1800
19#54#37,13321326,175,1624,30,6200,1800
146#42#59,13321326,175,1624,30,6200,1800
53#66#98,13321326,175,1624,30,6200,1800
133#106#77,12925951,381,62,30,6200,1800
46#31#114,12925951,381,62,30,6200,1800
11#133#30,12925951,381,62,30,6200,1800
72#9#125,12925951,381,62,30,6200,1800
35#62#6,HBC005493224,270,40,30,6200,1800
74#21#4,HBC005493224,270,40,30,6200,1800
98#149#46,HBC005493224,270,40,30,6200,1800
96#3#54,HBC005493224,270,40,30,6200,1800
28#33#139,HBC005493224,270,40,30,6200,1800
140#19#88,HBC005493224,270,40,30,6200,1800
138#74#7,HBC005493224,270,40,30,6200,1800
3#120#28,HBC005493224,270,40,30,6200,1800
135#91#149,HBC005493224,270,40,30,6200,1800
140#85#33,HBC005493224,270,40,30,6200,1800
84#14#5,HBC005493224,270,40,30,6200,1800
155#23#131,HBC005493224,270,40,30,6200,1800
51#27#82,HBC005493224,270,40,30,6200,1800
7#142#81,HBC005493224,270,40,30,6200,1800
37#48#138,HBC005493224,270,40,30,6200,1800
101#48#85,HBC005493224,270,40,30,6200,1800
20#155#66,HBC005493224,270,40,30,6200,1800
52#23#123,HBC005493224,270,40,30,6200,1800
21#151#44,HBC005493224,270,40,30,6200,1800
107#132#144,HBC005493224,270,40,30,6200,1800
117#148#134,12925992,120,1368,30,6200,1800
97#85#59,12925992,120,1368,30,6200,1800
28#6#70,12925992,120,1368,30,6200,1800
9#73#36,12925992,120,1368,30,6200,1800
104#133#138,12427559,225,490,30,6200,1800
69#106#124,12427559,225,490,30,6200,1800
19#102#10,12427559,225,490,30,6200,1800
90#16#110,12427559,225,490,30,6200,1800
140#80#33,12427559,225,490,30,6200,1800
17#88#105,12427559,225,490,30,6200,1800
68#13#131,12427559,225,490,30,6200,1800
55#116#128,12427559,225,490,30,6200,1800
35#112#142,12427559,225,490,30,6200,1800
23#50#38,12427559,225,490,30,6200,1800
127#68#93,12427571,170,480,30,6200,1800
62#128#141,12427571,170,480,30,6200,1800
143#2#121,12427571,170,480,30,6200,1800
10#94#150,12427571,170,480,30,6200,1800
148#50#52,12427571,170,480,30,6200,1800
57#21#117,12427571,170,480,30,6200,1800
78#72#147,12427571,170,480,30,6200,1800
126#46#142,12427571,170,480,30,6200,1800
82#130#2,12427571,170,480,30,6200,1800
147#44#16,11230859,238,250,30,6200,1800
113#113#75,11230859,238,250,30,6200,1800
121#31#103,11230859,238,250,30,6200,1800
106#73#73,11230859,238,250,30,6200,1800
18#79#111,11230859,238,250,30,6200,1800
19#29#104,11230859,238,250,30,6200,1800
119#128#28,11230859,238,250,30,6200,1800
9#24#42,11230859,238,250,30,6200,1800
30#75#117,11230859,238,250,30,6200,1800
18#152#47,HBC005493190,145,277,30,6200,1800
71#31#128,HBC005493190,145,277,30,6200,1800
131#29#81,HBC005493190,145,277,30,6200,1800
115#149#111,HBC005493190,145,277,30,6200,1800
94#118#99,HBC005493190,145,277,30,6200,1800
64#83#50,HBC005493190,145,277,30,6200,1800
48#24#76,HBC005493194,145,277,30,6200,1800
37#112#89,HBC005493194,145,277,30,6200,1800
69#100#138,HBC005493194,145,277,30,6200,1800
129#116#86,HBC005493194,145,277,30,6200,1800
37#125#129,HBC005493194,145,277,30,6200,1800
127#117#22,HBC005493194,145,277,30,6200,1800
126#144#90,13302837,374,110,30,6200,1800
139#46#31,13302837,374,110,30,6200,1800
136#131#138,12727747,150,260.5,30,6200,1800
94#80#101,12727747,150,260.5,30,6200,1800
49#109#95,A820101990598,170,153.06,30,6200,1800
91#147#11,A820101990598,170,153.06,30,6200,1800
103#97#51,11703478,40,90,30,6200,1800
37#117#116,11703478,40,90,30,6200,1800
148#49#138,11703478,40,90,30,6200,1800
37#91#43,11703478,40,90,30,6200,1800
116#55#19,11703478,40,90,30,6200,1800
