,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,14196838,4744,1270,16,8000,2300
60#77#26,14196838,4744,1270,16,8000,2300
65#91#135,14196838,4744,1270,16,8000,2300
146#20#124,11227863,3083,337.13,16,8000,2300
82#38#101,11227863,3083,337.13,16,8000,2300
58#94#96,11227863,3083,337.13,16,8000,2300
118#95#68,11227903,1861.5,400,16,8000,2300
146#8#109,11227903,1861.5,400,16,8000,2300
115#143#119,11227903,1861.5,400,16,8000,2300
121#68#135,14486715,252,1016,16,8000,2300
66#74#47,14486715,252,1016,16,8000,2300
27#134#63,14486715,252,1016,16,8000,2300
53#2#133,12925962,372.51,227.72,16,8000,2300
92#120#123,12925962,372.51,227.72,16,8000,2300
133#106#77,12925962,372.51,227.72,16,8000,2300
46#31#114,12925963,439.88,155,16,8000,2300
11#133#30,12925963,439.88,155,16,8000,2300
38#66#25,12925963,439.88,155,16,8000,2300
42#107#107,11054863,238,258,16,8000,2300
35#62#6,11054863,238,258,16,8000,2300
74#21#4,11054863,238,258,16,8000,2300
98#149#46,11054863,238,258,16,8000,2300
96#3#54,11054863,238,258,16,8000,2300
51#52#110,11054863,238,258,16,8000,2300
122#70#73,14016505,260,200,16,8000,2300
28#33#139,14016505,260,200,16,8000,2300
140#19#88,14016505,260,200,16,8000,2300
138#74#7,11054861,184,384.19,16,8000,2300
3#120#28,11054861,184,384.19,16,8000,2300
19#54#37,11054861,184,384.19,16,8000,2300
146#42#59,11227868,238,202,16,8000,2300
135#91#149,11227868,238,202,16,8000,2300
140#85#33,11227868,238,202,16,8000,2300
84#14#5,10963734,322,85,16,8000,2300
155#23#131,10963734,322,85,16,8000,2300
107#109#26,10963734,322,85,16,8000,2300
53#66#98,10963734,322,85,16,8000,2300
117#148#134,13545263,118,130,16,8000,2300
97#85#59,13545263,118,130,16,8000,2300
28#6#70,13545263,118,130,16,8000,2300
9#73#36,13545263,118,130,16,8000,2300
104#133#138,13433014,118,130,16,8000,2300
69#106#124,13433014,118,130,16,8000,2300
19#102#10,13433014,118,130,16,8000,2300
90#16#110,13433014,118,130,16,8000,2300
140#80#33,12727738,111.13,126.07,16,8000,2300
17#88#105,12727738,111.13,126.07,16,8000,2300
127#68#93,12941373,140,113,16,8000,2300
62#128#141,12941373,140,113,16,8000,2300
68#13#131,11054854,120,300,16,8000,2300
55#116#128,11054854,120,300,16,8000,2300
35#112#142,11054854,120,300,16,8000,2300
23#50#38,11054854,120,300,16,8000,2300
143#2#121,11054854,120,300,16,8000,2300
10#94#150,11054854,120,300,16,8000,2300
148#50#52,14486936,238,76,16,8000,2300
57#21#117,14486936,238,76,16,8000,2300
78#72#147,14486936,238,76,16,8000,2300
126#46#142,11054858,59,195,16,8000,2300
147#44#16,11054858,59,195,16,8000,2300
113#113#75,11054858,59,195,16,8000,2300
121#31#103,11054858,59,195,16,8000,2300
106#73#73,11054858,59,195,16,8000,2300
18#79#111,11054858,59,195,16,8000,2300
19#29#104,TPJ005273991,45,250,16,8000,2300
119#128#28,TPJ005273991,45,250,16,8000,2300
9#24#42,TPJ005273991,45,250,16,8000,2300
30#75#117,A820101314219,125,115,16,8000,2300
82#130#2,A820101314219,125,115,16,8000,2300
18#152#47,13606617,29,335.5,16,8000,2300
71#31#128,13606617,29,335.5,16,8000,2300
131#29#81,13606617,29,335.5,16,8000,2300
115#149#111,13606617,29,335.5,16,8000,2300
94#118#99,13606617,29,335.5,16,8000,2300
64#83#50,13606617,29,335.5,16,8000,2300
48#24#76,13606617,29,335.5,16,8000,2300
37#112#89,13606617,29,335.5,16,8000,2300
69#100#138,13606617,29,335.5,16,8000,2300
129#116#86,13606617,29,335.5,16,8000,2300
37#125#129,13606617,29,335.5,16,8000,2300
127#117#22,13606617,29,335.5,16,8000,2300
72#9#125,13606617,29,335.5,16,8000,2300
51#27#82,13606617,29,335.5,16,8000,2300
7#142#81,13606617,29,335.5,16,8000,2300
37#48#138,13606617,29,335.5,16,8000,2300
101#48#85,13606617,29,335.5,16,8000,2300
20#155#66,13606617,29,335.5,16,8000,2300
52#23#123,11054857,30,55,16,8000,2300
21#151#44,11054857,30,55,16,8000,2300
107#132#144,11054857,30,55,16,8000,2300
126#144#90,11054857,30,55,16,8000,2300
139#46#31,11054857,30,55,16,8000,2300
136#131#138,11054857,30,55,16,8000,2300
94#80#101,11703496,50,26,16,8000,2300
49#109#95,11703496,50,26,16,8000,2300
91#147#11,11703496,50,26,16,8000,2300
103#97#51,11703496,50,26,16,8000,2300
37#117#116,11703496,50,26,16,8000,2300
148#49#138,11703496,50,26,16,8000,2300
