,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,13359941,1078.99,280,12,6000,1800
60#77#26,13360796,1078.99,280,12,6000,1800
65#91#135,14362497,314,581.08,12,6000,1800
146#20#124,14362497,314,581.08,12,6000,1800
82#38#101,14362497,314,581.08,12,6000,1800
58#94#96,14362497,314,581.08,12,6000,1800
118#95#68,14362497,314,581.08,12,6000,1800
146#8#109,14362497,314,581.08,12,6000,1800
115#143#119,14362497,314,581.08,12,6000,1800
121#68#135,14362497,314,581.08,12,6000,1800
66#74#47,14362497,314,581.08,12,6000,1800
27#134#63,14362497,314,581.08,12,6000,1800
53#2#133,14362497,314,581.08,12,6000,1800
92#120#123,14362497,314,581.08,12,6000,1800
133#106#77,12925994,150,450,12,6000,1800
11#133#30,12925994,150,450,12,6000,1800
42#107#107,12925994,150,450,12,6000,1800
74#21#4,12925994,150,450,12,6000,1800
96#3#54,12925994,150,450,12,6000,1800
122#70#73,12925994,150,450,12,6000,1800
140#19#88,12925994,150,450,12,6000,1800
3#120#28,12925994,150,450,12,6000,1800
146#42#59,12925994,150,450,12,6000,1800
46#31#114,12925996,150,450,12,6000,1800
38#66#25,12925996,150,450,12,6000,1800
35#62#6,12925996,150,450,12,6000,1800
98#149#46,12925996,150,450,12,6000,1800
51#52#110,12925996,150,450,12,6000,1800
28#33#139,12925996,150,450,12,6000,1800
138#74#7,12925996,150,450,12,6000,1800
19#54#37,12925996,150,450,12,6000,1800
135#91#149,12925996,150,450,12,6000,1800
140#85#33,14296139,581,336,12,6000,1800
84#14#5,13359942,330,465,12,6000,1800
155#23#131,13360797,330,465,12,6000,1800
107#109#26,14153319,303.6,312.03,12,6000,1800
53#66#98,14153319,303.6,312.03,12,6000,1800
117#148#134,14153319,303.6,312.03,12,6000,1800
97#85#59,14153319,303.6,312.03,12,6000,1800
28#6#70,14153319,303.6,312.03,12,6000,1800
9#73#36,14153319,303.6,312.03,12,6000,1800
104#133#138,14153319,303.6,312.03,12,6000,1800
69#106#124,14153319,303.6,312.03,12,6000,1800
19#102#10,14153319,303.6,312.03,12,6000,1800
90#16#110,11093382,398.6,148,12,6000,1800
140#80#33,11093382,398.6,148,12,6000,1800
35#112#142,11093382,398.6,148,12,6000,1800
23#50#38,11093382,398.6,148,12,6000,1800
143#2#121,11093382,398.6,148,12,6000,1800
10#94#150,11093382,398.6,148,12,6000,1800
148#50#52,11093382,398.6,148,12,6000,1800
57#21#117,11093382,398.6,148,12,6000,1800
78#72#147,11093382,398.6,148,12,6000,1800
126#46#142,11093382,398.6,148,12,6000,1800
147#44#16,11093382,398.6,148,12,6000,1800
113#113#75,11093382,398.6,148,12,6000,1800
17#88#105,11093388,398.6,148,12,6000,1800
127#68#93,11093388,398.6,148,12,6000,1800
121#31#103,11093388,398.6,148,12,6000,1800
106#73#73,11093388,398.6,148,12,6000,1800
18#79#111,11093388,398.6,148,12,6000,1800
19#29#104,11093388,398.6,148,12,6000,1800
119#128#28,11093388,398.6,148,12,6000,1800
9#24#42,11093388,398.6,148,12,6000,1800
30#75#117,11093388,398.6,148,12,6000,1800
82#130#2,11093388,398.6,148,12,6000,1800
18#152#47,11093388,398.6,148,12,6000,1800
71#31#128,11093388,398.6,148,12,6000,1800
62#128#141,11417718,228.54,309,12,6000,1800
68#13#131,10467137,267,143.98,12,6000,1800
55#116#128,10467137,267,143.98,12,6000,1800
115#149#111,10467137,267,143.98,12,6000,1800
131#29#81,11417806,228.54,309,12,6000,1800
94#118#99,14364532,610,148,12,6000,1800
64#83#50,14364532,610,148,12,6000,1800
48#24#76,14364532,610,148,12,6000,1800
37#112#89,13606616,335,170,12,6000,1800
69#100#138,13606616,335,170,12,6000,1800
129#116#86,13606616,335,170,12,6000,1800
37#125#129,13606616,335,170,12,6000,1800
127#117#22,13606616,335,170,12,6000,1800
72#9#125,13606616,335,170,12,6000,1800
51#27#82,13606616,335,170,12,6000,1800
7#142#81,13606616,335,170,12,6000,1800
37#48#138,13606616,335,170,12,6000,1800
101#48#85,13606616,335,170,12,6000,1800
20#155#66,13606616,335,170,12,6000,1800
52#23#123,13606616,335,170,12,6000,1800
21#151#44,13606616,335,170,12,6000,1800
