color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-299.0, -39.0)","(0, 0)",0,0,2,-0.0,1163.0,1644.0,2308.0,288.0,1163.5,1644.5,TPJ004861497,0
60#77#26,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-299.0, -121.5)","(0, 0)",0,0,2,-0.0,1163.0,1347.5,2308.0,289.0,1163.5,1348.0,TPJ004861499,0
65#91#135,0,128,253,63,0,0,0,0,0,0,0,0,0,0,0,0,"(92.0001220703125, -76.0)","(0, 0)",0,0,2,0.0,934.9998779296875,1110.9998779296875,1851.999755859375,167.99996948242188,935.5,1111.5,TPJ004861598,0
146#20#124,16,128,246,189,30,0,0,0,0,0,0,0,0,0,0,0,"(100.0001220703125, 81.5001220703125)","(0, 0)",0,0,2,0.0,868.4998779296875,798.4998779296875,1717.999755859375,438.99993896484375,869.0,799.0,13391334,0
82#38#101,0,130,255,214,3,0,0,0,0,0,0,0,0,0,0,0,"(-107.9998779296875, 78.5001220703125)","(0, 0)",0,0,2,0.0,861.4998779296875,348.49993896484375,1703.999755859375,438.99993896484375,862.0,349.0,13391336,0
118#95#68,0,128,255,54,0,0,0,0,0,0,0,0,0,0,0,0,"(-113.9998779296875, -80.5)","(0, 0)",0,0,2,0.0,2589.5,282.5,1703.999755859375,100.99998474121094,2590.0,283.0,13391342,0
