color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
46#31#114,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-339.5, -80.0)","(0, 0)",0,0,2,-0.0,3028.0,1718.0,2489.0,136.0,3028.5,1718.5,HBC004677857,0
11#133#30,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-339.5, -80.0)","(0, 0)",0,0,2,-0.0,3028.0,1569.0,2489.0,136.0,3028.5,1569.5,HBC004677857,0
38#66#25,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-339.5, -80.0)","(0, 0)",0,0,2,-0.0,3028.0,1420.0,2489.0,136.0,3028.5,1420.5,HBC004677899,0
42#107#107,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-339.5, -80.0)","(0, 0)",0,0,2,-0.0,3028.0,1271.0,2489.0,136.0,3028.5,1271.5,HBC004677899,0
35#62#6,255,255,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, -0.5)","(0, 0)",0,0,2,-0.0,2417.5,1022.5,1268.0,335.0,2418.0,1023.0,13322983,0
74#21#4,255,255,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.5)","(0, 0)",0,0,2,-0.0,2421.5,677.5,1276.0,337.0,2422.0,678.0,13327066,0
98#149#46,240,31,254,13,0,0,0,0,0,0,0,0,0,0,0,0,"(18.5, 5.5)","(0, 0)",0,0,2,-0.0,3521.0,1061.5,901.0,257.0,3521.5,1062.0,12727743,0
