color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
0#92#184,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-58.0, -5.5)","(0, 0)",0,0,2,90.0,3538.0,433.5,812.0,473.0,3538.5,434.0,0#92#184,0
0#127#255,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,"(-556.5, 0.0)","(656.5, 0.0)",0,0,3,-0.0,2161.0,594.0,2199.0,190.0,2161.5,594.5,0#127#255,0
0#138#184,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-213.5, 1.5)","(0, 0)",0,0,2,5.259559631347656,433.9292907714844,772.726806640625,875.0,605.0,428.5,790.0,0#138#184,0
0#165#221,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,"(-655.5, -3.0)","(558.5, -7.0)",0,0,3,-0.0,1926.0,777.0,2199.0,190.0,1926.5,777.5,0#165#221,0
