color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-301.5, -121.0)","(0, 0)",0,0,2,-0.0,4837.0,158.0,2305.0,288.0,4836.5,157.5,TPJ004861497,0
60#77#26,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-300.5, -38.5)","(0, 0)",0,0,2,-0.0,4837.0,454.5,2305.0,289.0,4836.5,454.0,TPJ004861499,0
65#91#135,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-303.5, -80.5)","(0, 0)",0,0,2,-0.0,4837.0,711.5,2305.0,199.0,4836.5,711.0,13678134,0
146#20#124,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-295.5, -80.0)","(0, 0)",0,0,2,-0.0,4837.0,923.0,2305.0,198.0,4836.5,922.5,13677847,0
82#38#101,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-210.5, -77.0)","(0, 0)",0,0,2,0.0,5015.0001220703125,1119.0000610351562,1949.0,168.0,5014.5,1118.5,13391635,0
58#94#96,0,128,253,63,0,0,0,0,0,0,0,0,0,0,0,0,"(91.5, -77.0)","(0, 0)",0,0,2,-0.0,5065.0,1300.0,1849.0,168.0,5064.5,1299.5,TPJ004861598,0
118#95#68,0,143,255,7,0,0,0,0,0,0,0,0,0,0,0,0,"(108.5, 38.5)","(0, 0)",0,0,2,-0.0,5454.5001220703125,1599.5000305175781,1069.0,381.0,5454.0,1599.0,TPJ004861631,0
146#8#109,0,128,46,29,0,0,0,0,0,0,0,0,0,0,0,0,"(-50.5, -78.5)","(0, 0)",0,0,2,-0.0,4845.0,1451.5,1367.0,109.0,4844.5,1451.0,GZB005816A01,0
115#143#119,0,0,255,15,0,0,0,0,0,0,0,0,0,0,0,0,"(56.0, -112.5)","(0, 0)",0,0,2,-0.0,4419.5,1640.0,978.0,253.0,4419.0,1639.5,14362439,1
35#62#6,252,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-56.0, 112.5)","(0, 0)",0,0,2,-0.0,3428.5,1116.5,978.0,253.0,3428.0,1116.0,14362439,0
38#66#25,0,143,255,7,0,0,0,0,0,0,0,0,0,0,0,0,"(126.0, 40.5)","(0, 0)",0,0,2,-0.0,3389.5,1624.5,1044.0,331.0,3389.0,1624.0,13391818,0
42#107#107,248,127,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-126.0, -40.5)","(0, 0)",0,0,2,-0.0,3575.5,1421.5,1044.0,331.0,3575.0,1421.0,13391818,1
74#21#4,0,128,255,7,0,4,0,0,0,0,0,0,0,0,0,0,"(96.5, -137.0)","(0, 0)",0,0,2,90.0,3511.0,537.0,1043.0,312.0,3510.5,536.5,13391893,1
98#149#46,248,127,0,128,0,0,0,0,0,0,0,0,0,0,0,0,"(-96.5, 137.0)","(0, 0)",0,0,2,90.0,3328.0,532.0,1043.0,312.0,3327.5,531.5,13391893,0
