color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-298.5, -39.0)","(0, 0)",0,0,2,-0.0,1163.0,1642.0,2305.0,288.0,1163.5,1642.5,TPJ004861497,0
60#77#26,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-299.5, -121.5)","(0, 0)",0,0,2,-0.0,1163.0,1345.5,2305.0,289.0,1163.5,1346.0,TPJ004861499,0
65#91#135,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-296.5, -79.5)","(0, 0)",0,0,2,-0.0,1163.0,1088.5,2305.0,199.0,1163.5,1089.0,13678134,0
146#20#124,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-304.5, -80.0)","(0, 0)",0,0,2,-0.0,1163.0,877.0,2305.0,198.0,1163.5,877.5,13677847,0
82#38#101,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-209.5, -83.0)","(0, 0)",0,0,2,0.0,984.9998779296875,680.9999389648438,1949.0,168.0,985.5,681.5,13391635,0
58#94#96,0,128,255,47,0,0,0,0,0,0,0,0,0,0,0,0,"(-181.5, -83.0)","(0, 0)",0,0,2,-0.0,935.0,500.0,1849.0,168.0,935.5,500.5,TPJ004861598,0
118#95#68,248,127,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-108.5, -38.5)","(0, 0)",0,0,2,-0.0,545.4998779296875,200.49996948242188,1069.0,381.0,546.0,201.0,TPJ004861631,0
146#8#109,0,128,46,29,0,0,0,0,0,0,0,0,0,0,0,0,"(-49.5, -81.5)","(0, 0)",0,0,2,-0.0,1155.0,348.5,1367.0,109.0,1155.5,349.0,GZB005816A01,0
115#143#119,0,0,254,31,0,0,0,0,0,0,0,0,0,0,0,0,"(-56.0, -47.5)","(0, 0)",0,0,2,-0.0,1580.5,160.0,978.0,253.0,1581.0,160.5,14362439,1
35#62#6,254,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(56.0, 47.5)","(0, 0)",0,0,2,-0.0,2571.5,683.5,978.0,253.0,2572.0,684.0,14362439,0
38#66#25,248,127,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-126.0, -40.5)","(0, 0)",0,0,2,-0.0,2610.5,175.5,1044.0,331.0,2611.0,176.0,13391818,0
42#107#107,0,143,255,7,0,0,0,0,0,0,0,0,0,0,0,0,"(126.0, 40.5)","(0, 0)",0,0,2,-0.0,2424.5,378.5,1044.0,331.0,2425.0,379.0,13391818,1
74#21#4,248,127,0,128,0,0,0,0,0,0,0,0,0,0,0,0,"(-96.5, 137.0)","(0, 0)",0,0,2,90.0,2489.0,1263.0,1043.0,312.0,2489.5,1263.5,13391893,1
98#149#46,0,128,255,7,0,4,0,0,0,0,0,0,0,0,0,0,"(96.5, -137.0)","(0, 0)",0,0,2,90.0,2672.0,1268.0,1043.0,312.0,2672.5,1268.5,13391893,0
