,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,TPJ004861649,776,265,20,4797.99,2200
60#77#26,HBC005493217,271,271,20,4797.99,2200
65#91#135,HBC005493217,271,271,20,4797.99,2200
146#20#124,HBC005493217,271,271,20,4797.99,2200
82#38#101,HBC005493217,271,271,20,4797.99,2200
58#94#96,HBC005493217,271,271,20,4797.99,2200
42#107#107,HBC005493217,271,271,20,4797.99,2200
118#95#68,HBC005493218,271,271,20,4797.99,2200
146#8#109,HBC005493218,271,271,20,4797.99,2200
115#143#119,HBC005493218,271,271,20,4797.99,2200
121#68#135,HBC005493218,271,271,20,4797.99,2200
66#74#47,HBC005493218,271,271,20,4797.99,2200
38#66#25,HBC005493218,271,271,20,4797.99,2200
27#134#63,HBC005493219,30,540,20,4797.99,2200
53#2#133,HBC005493219,30,540,20,4797.99,2200
92#120#123,HBC005493219,30,540,20,4797.99,2200
133#106#77,HBC005493219,30,540,20,4797.99,2200
46#31#114,HBC005493219,30,540,20,4797.99,2200
11#133#30,HBC005493219,30,540,20,4797.99,2200
35#62#6,13317635,135,140,20,4797.99,2200
98#149#46,13317635,135,140,20,4797.99,2200
51#52#110,13317635,135,140,20,4797.99,2200
74#21#4,13317636,135,140,20,4797.99,2200
96#3#54,13317636,135,140,20,4797.99,2200
122#70#73,13317636,135,140,20,4797.99,2200
28#33#139,BCB004745051,42,294,20,4797.99,2200
140#19#88,BCB004745051,42,294,20,4797.99,2200
138#74#7,BCB004745051,42,294,20,4797.99,2200
3#120#28,A820101356138,40,40,20,4797.99,2200
19#54#37,A820101356138,40,40,20,4797.99,2200
146#42#59,A820101356138,40,40,20,4797.99,2200
135#91#149,A820101356138,40,40,20,4797.99,2200
140#85#33,A820101356138,40,40,20,4797.99,2200
84#14#5,A820101356138,40,40,20,4797.99,2200
155#23#131,A820101356138,40,40,20,4797.99,2200
107#109#26,A820101356138,40,40,20,4797.99,2200
53#66#98,A820101356138,40,40,20,4797.99,2200
117#148#134,A820101356138,40,40,20,4797.99,2200
97#85#59,A820101356138,40,40,20,4797.99,2200
28#6#70,A820101356138,40,40,20,4797.99,2200
9#73#36,A820101356138,40,40,20,4797.99,2200
104#133#138,A820101356138,40,40,20,4797.99,2200
69#106#124,A820101356138,40,40,20,4797.99,2200
19#102#10,A820101356138,40,40,20,4797.99,2200
90#16#110,A820101356138,40,40,20,4797.99,2200
140#80#33,A820101356138,40,40,20,4797.99,2200
17#88#105,A820101356138,40,40,20,4797.99,2200
127#68#93,A820101356138,40,40,20,4797.99,2200
62#128#141,A820101356138,40,40,20,4797.99,2200
68#13#131,A820101356138,40,40,20,4797.99,2200
55#116#128,A820101356138,40,40,20,4797.99,2200
35#112#142,A820101356138,40,40,20,4797.99,2200
23#50#38,A820101356138,40,40,20,4797.99,2200
143#2#121,A820101356138,40,40,20,4797.99,2200
10#94#150,A820101356138,40,40,20,4797.99,2200
148#50#52,A820101356138,40,40,20,4797.99,2200
57#21#117,A820101356138,40,40,20,4797.99,2200
78#72#147,A820101356138,40,40,20,4797.99,2200
126#46#142,A820101356138,40,40,20,4797.99,2200
147#44#16,A820101356138,40,40,20,4797.99,2200
113#113#75,A820101356138,40,40,20,4797.99,2200
121#31#103,A820101356138,40,40,20,4797.99,2200
106#73#73,A820101356138,40,40,20,4797.99,2200
18#79#111,A820101356138,40,40,20,4797.99,2200
