,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,11413778,1834.5,415,20,6000,2200
60#77#26,11413778,1834.5,415,20,6000,2200
65#91#135,11413778,1834.5,415,20,6000,2200
146#20#124,11413778,1834.5,415,20,6000,2200
82#38#101,11413778,1834.5,415,20,6000,2200
58#94#96,11413778,1834.5,415,20,6000,2200
118#95#68,11230819,940,535,20,6000,2200
146#8#109,11230819,940,535,20,6000,2200
115#143#119,11230819,940,535,20,6000,2200
121#68#135,11230819,940,535,20,6000,2200
66#74#47,11230819,940,535,20,6000,2200
27#134#63,11230819,940,535,20,6000,2200
53#2#133,HBC005493217,271,271,20,6000,2200
92#120#123,HBC005493217,271,271,20,6000,2200
133#106#77,HBC005493217,271,271,20,6000,2200
46#31#114,HBC005493217,271,271,20,6000,2200
11#133#30,HBC005493217,271,271,20,6000,2200
38#66#25,HBC005493217,271,271,20,6000,2200
42#107#107,HBC005493217,271,271,20,6000,2200
35#62#6,HBC005493217,271,271,20,6000,2200
74#21#4,HBC005493217,271,271,20,6000,2200
98#149#46,HBC005493217,271,271,20,6000,2200
96#3#54,HBC005493217,271,271,20,6000,2200
51#52#110,HBC005493217,271,271,20,6000,2200
122#70#73,HBC005493217,271,271,20,6000,2200
28#33#139,HBC005493217,271,271,20,6000,2200
140#19#88,HBC005493217,271,271,20,6000,2200
138#74#7,HBC005493217,271,271,20,6000,2200
3#120#28,HBC005493217,271,271,20,6000,2200
19#54#37,HBC005493217,271,271,20,6000,2200
146#42#59,HBC005493217,271,271,20,6000,2200
135#91#149,HBC005493217,271,271,20,6000,2200
140#85#33,HBC005493217,271,271,20,6000,2200
84#14#5,HBC005493217,271,271,20,6000,2200
155#23#131,HBC005493217,271,271,20,6000,2200
107#109#26,HBC005493217,271,271,20,6000,2200
53#66#98,HBC005493217,271,271,20,6000,2200
117#148#134,HBC005493217,271,271,20,6000,2200
97#85#59,HBC005493217,271,271,20,6000,2200
28#6#70,HBC005493217,271,271,20,6000,2200
9#73#36,HBC005493218,271,271,20,6000,2200
104#133#138,HBC005493218,271,271,20,6000,2200
69#106#124,HBC005493218,271,271,20,6000,2200
19#102#10,HBC005493218,271,271,20,6000,2200
90#16#110,HBC005493218,271,271,20,6000,2200
140#80#33,HBC005493218,271,271,20,6000,2200
17#88#105,HBC005493218,271,271,20,6000,2200
127#68#93,HBC005493218,271,271,20,6000,2200
62#128#141,HBC005493218,271,271,20,6000,2200
68#13#131,HBC005493218,271,271,20,6000,2200
55#116#128,HBC005493218,271,271,20,6000,2200
35#112#142,HBC005493218,271,271,20,6000,2200
23#50#38,HBC005493218,271,271,20,6000,2200
143#2#121,HBC005493218,271,271,20,6000,2200
10#94#150,HBC005493218,271,271,20,6000,2200
148#50#52,HBC005493218,271,271,20,6000,2200
57#21#117,HBC005493218,271,271,20,6000,2200
78#72#147,HBC005493218,271,271,20,6000,2200
126#46#142,HBC005493218,271,271,20,6000,2200
147#44#16,HBC005493218,271,271,20,6000,2200
113#113#75,HBC005493218,271,271,20,6000,2200
121#31#103,HBC005493218,271,271,20,6000,2200
106#73#73,HBC005493218,271,271,20,6000,2200
18#79#111,HBC005493218,271,271,20,6000,2200
19#29#104,HBC005493218,271,271,20,6000,2200
119#128#28,HBC005493218,271,271,20,6000,2200
9#24#42,HBC005493218,271,271,20,6000,2200
30#75#117,HBC005493218,271,271,20,6000,2200
82#130#2,13315040,550,100,20,6000,2200
18#152#47,13315040,550,100,20,6000,2200
71#31#128,13315040,550,100,20,6000,2200
131#29#81,13315040,550,100,20,6000,2200
115#149#111,13315040,550,100,20,6000,2200
94#118#99,13315040,550,100,20,6000,2200
64#83#50,12727746,245,200.5,20,6000,2200
48#24#76,12727746,245,200.5,20,6000,2200
37#112#89,12727746,245,200.5,20,6000,2200
69#100#138,12727746,245,200.5,20,6000,2200
129#116#86,11230858,238,235,20,6000,2200
37#125#129,A820101336547,185,120,20,6000,2200
127#117#22,A820101336547,185,120,20,6000,2200
72#9#125,A820101336547,185,120,20,6000,2200
51#27#82,A820101336547,185,120,20,6000,2200
7#142#81,HBC005493219,30,540,20,6000,2200
37#48#138,HBC005493219,30,540,20,6000,2200
101#48#85,HBC005493219,30,540,20,6000,2200
