,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
20#155#66,HBC005493219,30,540,20,6000,2200
52#23#123,HBC005493219,30,540,20,6000,2200
21#151#44,HBC005493219,30,540,20,6000,2200
107#132#144,HBC005493219,30,540,20,6000,2200
126#144#90,HBC005493219,30,540,20,6000,2200
139#46#31,HBC005493219,30,540,20,6000,2200
136#131#138,HBC005493219,30,540,20,6000,2200
94#80#101,HBC005493219,30,540,20,6000,2200
49#109#95,HBC005493219,30,540,20,6000,2200
91#147#11,HBC005493219,30,540,20,6000,2200
103#97#51,HBC005493219,30,540,20,6000,2200
37#117#116,HBC005493219,30,540,20,6000,2200
148#49#138,HBC005493219,30,540,20,6000,2200
37#91#43,HBC005493219,30,540,20,6000,2200
116#55#19,HBC005493219,30,540,20,6000,2200
5#50#58,HBC005493219,30,540,20,6000,2200
151#89#148,HBC005493219,30,540,20,6000,2200
122#4#142,HBC005493219,30,540,20,6000,2200
63#148#108,HBC005493219,30,540,20,6000,2200
33#21#98,HBC005493219,30,540,20,6000,2200
71#58#117,HBC005493219,30,540,20,6000,2200
99#153#63,HBC005493219,30,540,20,6000,2200
54#80#126,HBC005493219,30,540,20,6000,2200
123#148#76,HBC005493219,30,540,20,6000,2200
7#70#4,HBC005493219,30,540,20,6000,2200
61#144#25,12114607,113,253,20,6000,2200
72#50#29,12114607,113,253,20,6000,2200
153#139#76,12114607,113,253,20,6000,2200
61#46#42,12114607,113,253,20,6000,2200
46#79#25,12114607,113,253,20,6000,2200
73#46#137,12114607,113,253,20,6000,2200
131#63#48,12114607,113,253,20,6000,2200
22#55#149,12114607,113,253,20,6000,2200
130#54#152,12114607,113,253,20,6000,2200
13#68#22,12114607,113,253,20,6000,2200
71#140#1,12114607,113,253,20,6000,2200
62#56#153,12114607,113,253,20,6000,2200
146#15#147,14296142,137,176,20,6000,2200
11#148#144,14296152,137,176,20,6000,2200
60#103#130,BCB004745051,42,294,20,6000,2200
150#133#69,BCB004745051,42,294,20,6000,2200
133#108#69,BCB004745051,42,294,20,6000,2200
80#95#130,BCB004745051,42,294,20,6000,2200
105#39#104,BCB004745051,42,294,20,6000,2200
126#90#123,BCB004745051,42,294,20,6000,2200
123#133#50,BCB004745051,42,294,20,6000,2200
95#149#70,BCB004745051,42,294,20,6000,2200
147#109#135,BCB004745051,42,294,20,6000,2200
18#46#104,BCB004745051,42,294,20,6000,2200
49#97#115,BCB004745051,42,294,20,6000,2200
0#137#155,BCB004745051,42,294,20,6000,2200
24#7#68,BCB004745051,42,294,20,6000,2200
132#7#148,BCB004745051,42,294,20,6000,2200
149#124#42,BCB004745051,42,294,20,6000,2200
47#11#4,A820101356152,58,130,20,6000,2200
114#9#116,A820101356152,58,130,20,6000,2200
108#133#0,A820101356152,58,130,20,6000,2200
34#35#84,A820101356152,58,130,20,6000,2200
154#38#100,A820101356152,58,130,20,6000,2200
103#9#103,A820101356152,58,130,20,6000,2200
18#25#64,A820101356152,58,130,20,6000,2200
83#102#48,A820101356152,58,130,20,6000,2200
104#52#90,A820101356152,58,130,20,6000,2200
100#37#97,A820101356152,58,130,20,6000,2200
125#19#9,A820101356152,58,130,20,6000,2200
52#96#124,A820101356152,58,130,20,6000,2200
148#128#138,A820101356152,58,130,20,6000,2200
124#106#63,A820101356152,58,130,20,6000,2200
125#57#41,A820101356152,58,130,20,6000,2200
56#26#15,A820101356152,58,130,20,6000,2200
100#43#114,A820101336546,110,110,20,6000,2200
31#129#87,A820101336546,110,110,20,6000,2200
132#52#140,A820101336546,110,110,20,6000,2200
13#52#128,A820101336546,110,110,20,6000,2200
138#117#149,12451811,118,91,20,6000,2200
24#77#65,12451811,118,91,20,6000,2200
4#15#110,12451811,118,91,20,6000,2200
45#154#104,12451811,118,91,20,6000,2200
58#22#84,12451811,118,91,20,6000,2200
29#132#94,12451811,118,91,20,6000,2200
65#133#44,12451811,118,91,20,6000,2200
88#150#81,12451811,118,91,20,6000,2200
143#99#105,12451811,118,91,20,6000,2200
90#49#54,12451811,118,91,20,6000,2200
82#124#130,12451811,118,91,20,6000,2200
1#113#6,12451811,118,91,20,6000,2200
113#60#13,11910350,80,70,20,6000,2200
7#14#57,11910350,80,70,20,6000,2200
55#127#107,11910350,80,70,20,6000,2200
28#142#119,11910350,80,70,20,6000,2200
50#31#16,12925964,60,70,20,6000,2200
36#20#2,12925964,60,70,20,6000,2200
148#26#14,12925964,60,70,20,6000,2200
115#90#59,12925964,60,70,20,6000,2200
27#23#0,12925964,60,70,20,6000,2200
70#1#61,12925964,60,70,20,6000,2200
28#38#39,13671904,56,35,20,6000,2200
87#106#140,13671904,56,35,20,6000,2200
89#121#151,13671904,56,35,20,6000,2200
56#67#0,13671904,56,35,20,6000,2200
123#70#36,13671904,56,35,20,6000,2200
19#43#85,13671904,56,35,20,6000,2200
135#141#131,A820101355463,42,42,20,6000,2200
95#76#22,A820101355463,42,42,20,6000,2200
143#118#44,A820101355463,42,42,20,6000,2200
154#17#148,A820101355463,42,42,20,6000,2200
152#101#10,A820101355463,42,42,20,6000,2200
129#7#53,A820101355463,42,42,20,6000,2200
138#3#33,A820101355463,42,42,20,6000,2200
13#146#123,A820101355463,42,42,20,6000,2200
88#100#70,A820101355463,42,42,20,6000,2200
11#52#7,A820101355463,42,42,20,6000,2200
17#83#107,A820101355463,42,42,20,6000,2200
98#120#104,A820101355463,42,42,20,6000,2200
23#10#125,A820101355463,42,42,20,6000,2200
101#21#149,A820101355463,42,42,20,6000,2200
111#123#25,A820101355463,42,42,20,6000,2200
2#20#78,A820101355463,42,42,20,6000,2200
129#155#56,A820101356138,40,40,20,6000,2200
71#134#50,A820101356138,40,40,20,6000,2200
142#5#43,A820101356138,40,40,20,6000,2200
98#1#103,A820101356138,40,40,20,6000,2200
144#91#61,A820101356138,40,40,20,6000,2200
101#155#10,A820101356138,40,40,20,6000,2200
38#104#56,A820101356138,40,40,20,6000,2200
132#90#106,A820101356138,40,40,20,6000,2200
11#84#25,A820101356138,40,40,20,6000,2200
53#47#123,A820101356138,40,40,20,6000,2200
73#60#47,A820101356138,40,40,20,6000,2200
76#47#27,A820101356138,40,40,20,6000,2200
87#135#10,A820101356138,40,40,20,6000,2200
59#63#116,A820101356138,40,40,20,6000,2200
62#108#23,A820101356138,40,40,20,6000,2200
27#60#72,A820101356138,40,40,20,6000,2200
85#91#112,A820101356138,40,40,20,6000,2200
16#48#118,A820101356138,40,40,20,6000,2200
61#45#155,A820101356138,40,40,20,6000,2200
123#8#140,A820101356138,40,40,20,6000,2200
102#94#20,A820101356138,40,40,20,6000,2200
56#146#57,A820101356138,40,40,20,6000,2200
135#35#57,A820101356138,40,40,20,6000,2200
41#77#137,A820101356138,40,40,20,6000,2200
5#32#97,A820101356138,40,40,20,6000,2200
71#31#59,A820101356138,40,40,20,6000,2200
44#134#59,A820101356138,40,40,20,6000,2200
87#67#14,A820101356138,40,40,20,6000,2200
88#131#9,A820101356138,40,40,20,6000,2200
94#126#90,A820101356138,40,40,20,6000,2200
126#43#60,A820101356138,40,40,20,6000,2200
95#23#111,A820101356138,40,40,20,6000,2200
30#49#38,A820101356138,40,40,20,6000,2200
15#9#80,A820101356138,40,40,20,6000,2200
136#26#90,A820101356138,40,40,20,6000,2200
85#7#127,A820101356138,40,40,20,6000,2200
134#80#108,A820101356138,40,40,20,6000,2200
104#98#148,A820101356138,40,40,20,6000,2200
32#73#120,A820101356138,40,40,20,6000,2200
15#132#99,A820101356138,40,40,20,6000,2200
117#86#5,A820101356138,40,40,20,6000,2200
106#122#51,A820101356138,40,40,20,6000,2200
69#149#154,A820101356138,40,40,20,6000,2200
99#102#40,A820101356138,40,40,20,6000,2200
113#97#147,A820101356138,40,40,20,6000,2200
4#74#138,A820101356138,40,40,20,6000,2200
137#136#97,A820101356138,40,40,20,6000,2200
95#128#64,A820101356138,40,40,20,6000,2200
14#83#149,A820101356138,40,40,20,6000,2200
125#79#110,A820101356138,40,40,20,6000,2200
81#105#25,A820101356138,40,40,20,6000,2200
18#39#136,A820101356138,40,40,20,6000,2200
10#140#23,A820101356138,40,40,20,6000,2200
53#18#104,A820101356138,40,40,20,6000,2200
110#7#44,A820101356138,40,40,20,6000,2200
80#136#104,A820101356138,40,40,20,6000,2200
109#86#154,A820101356138,40,40,20,6000,2200
74#139#49,A820101356138,40,40,20,6000,2200
100#122#80,A820101356138,40,40,20,6000,2200
17#138#25,A820101356138,40,40,20,6000,2200
50#5#113,A820101356138,40,40,20,6000,2200
136#143#81,A820101356138,40,40,20,6000,2200
10#6#16,A820101356138,40,40,20,6000,2200
45#91#20,A820101356138,40,40,20,6000,2200
123#91#86,A820101356138,40,40,20,6000,2200
122#91#16,A820101356138,40,40,20,6000,2200
49#151#61,A820101356138,40,40,20,6000,2200
36#117#94,A820101356138,40,40,20,6000,2200
31#146#95,A820101356138,40,40,20,6000,2200
95#17#50,A820101356138,40,40,20,6000,2200
22#47#55,A820101356138,40,40,20,6000,2200
75#127#71,A820101356138,40,40,20,6000,2200
105#90#13,A820101356138,40,40,20,6000,2200
79#114#21,A820101356138,40,40,20,6000,2200
5#78#64,A820101356138,40,40,20,6000,2200
10#122#96,A820101356138,40,40,20,6000,2200
5#34#135,A820101356138,40,40,20,6000,2200
8#71#94,A820101356138,40,40,20,6000,2200
148#72#99,A820101356138,40,40,20,6000,2200
125#18#81,A820101356138,40,40,20,6000,2200
142#6#80,A820101356138,40,40,20,6000,2200
72#126#122,A820101356138,40,40,20,6000,2200
69#47#21,A820101356138,40,40,20,6000,2200
138#86#125,A820101356138,40,40,20,6000,2200
121#128#23,A820101356138,40,40,20,6000,2200
37#74#38,A820101356138,40,40,20,6000,2200
122#120#29,A820101356138,40,40,20,6000,2200
45#8#123,A820101356138,40,40,20,6000,2200
72#120#81,A820101356138,40,40,20,6000,2200
18#64#95,A820101356138,40,40,20,6000,2200
134#94#103,A820101356138,40,40,20,6000,2200
52#141#135,A820101356138,40,40,20,6000,2200
93#151#48,A820101356138,40,40,20,6000,2200
153#91#88,A820101356138,40,40,20,6000,2200
102#126#138,A820101356138,40,40,20,6000,2200
142#137#141,A820101356138,40,40,20,6000,2200
8#61#49,A820101356138,40,40,20,6000,2200
34#53#109,A820101356138,40,40,20,6000,2200
46#147#145,A820101356138,40,40,20,6000,2200
110#134#48,A820101356138,40,40,20,6000,2200
130#76#75,A820101356138,40,40,20,6000,2200
47#37#102,A820101356138,40,40,20,6000,2200
16#76#0,A820101356138,40,40,20,6000,2200
141#17#48,A820101356138,40,40,20,6000,2200
67#65#18,A820101356138,40,40,20,6000,2200
37#97#8,A820101356138,40,40,20,6000,2200
144#41#109,A820101356138,40,40,20,6000,2200
50#116#28,A820101356138,40,40,20,6000,2200
104#105#85,A820101356138,40,40,20,6000,2200
6#3#81,A820101356138,40,40,20,6000,2200
118#5#98,A820101356138,40,40,20,6000,2200
12#116#102,A820101356138,40,40,20,6000,2200
45#10#137,A820101356138,40,40,20,6000,2200
114#130#22,A820101356138,40,40,20,6000,2200
70#100#32,A820101356138,40,40,20,6000,2200
107#39#16,A820101356138,40,40,20,6000,2200
28#34#78,A820101356138,40,40,20,6000,2200
151#43#120,A820101356138,40,40,20,6000,2200
140#32#144,A820101356138,40,40,20,6000,2200
26#121#79,A820101356138,40,40,20,6000,2200
15#132#113,A820101356138,40,40,20,6000,2200
128#83#119,A820101356138,40,40,20,6000,2200
121#79#130,A820101356138,40,40,20,6000,2200
18#12#102,A820101356138,40,40,20,6000,2200
82#43#63,A820101356138,40,40,20,6000,2200
63#133#135,A820101356138,40,40,20,6000,2200
142#89#90,A820101356138,40,40,20,6000,2200
63#142#97,A820101356138,40,40,20,6000,2200
37#0#115,A820101356138,40,40,20,6000,2200
1#136#49,A820101356138,40,40,20,6000,2200
51#127#133,A820101356138,40,40,20,6000,2200
28#105#71,A820101356138,40,40,20,6000,2200
