,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,TPJ004861497,2306.5,286.67,6,6000,1800
60#77#26,TPJ004861499,2306.5,286.67,6,6000,1800
65#91#135,13678134,2306.5,196.67,6,6000,1800
146#20#124,13677847,2306.5,196.67,6,6000,1800
82#38#101,13391635,1950,165.81,6,6000,1800
58#94#96,TPJ004861598,1850,165.81,6,6000,1800
118#95#68,TPJ004861631,1071.54,379,6,6000,1800
146#8#109,GZB005816A01,1368,107,6,6000,1800
115#143#119,14362439,979,250.13,6,6000,1800
35#62#6,14362439,979,250.13,6,6000,1800
121#68#135,TPJ004861634,37,335,6,6000,1800
66#74#47,13391821,37,285,6,6000,1800
27#134#63,13391821,37,285,6,6000,1800
53#2#133,13391896,37,230,6,6000,1800
92#120#123,13391896,37,230,6,6000,1800
133#106#77,TPJ004861637,37,200,6,6000,1800
46#31#114,14235369,37,170,6,6000,1800
11#133#30,14235369,37,170,6,6000,1800
38#66#25,13391818,1044.61,329,6,6000,1800
42#107#107,13391818,1044.61,329,6,6000,1800
74#21#4,13391893,1044,310.13,6,6000,1800
98#149#46,13391893,1044,310.13,6,6000,1800
