,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,10772142,1693.4,296.76,30,6200,1800
60#77#26,10772142,1693.4,296.76,30,6200,1800
65#91#135,10772142,1693.4,296.76,30,6200,1800
146#20#124,10772142,1693.4,296.76,30,6200,1800
82#38#101,10772142,1693.4,296.76,30,6200,1800
58#94#96,10772142,1693.4,296.76,30,6200,1800
118#95#68,10772142,1693.4,296.76,30,6200,1800
146#8#109,10772142,1693.4,296.76,30,6200,1800
115#143#119,10772142,1693.4,296.76,30,6200,1800
121#68#135,10772142,1693.4,296.76,30,6200,1800
66#74#47,10772142,1693.4,296.76,30,6200,1800
27#134#63,10772142,1693.4,296.76,30,6200,1800
53#2#133,10772124,1616,298.16,30,6200,1800
92#120#123,10772124,1616,298.16,30,6200,1800
133#106#77,10772124,1616,298.16,30,6200,1800
46#31#114,10772124,1616,298.16,30,6200,1800
11#133#30,10772124,1616,298.16,30,6200,1800
38#66#25,10772124,1616,298.16,30,6200,1800
42#107#107,10772124,1616,298.16,30,6200,1800
35#62#6,10772124,1616,298.16,30,6200,1800
74#21#4,10772124,1616,298.16,30,6200,1800
98#149#46,10772124,1616,298.16,30,6200,1800
96#3#54,10772124,1616,298.16,30,6200,1800
51#52#110,10772124,1616,298.16,30,6200,1800
122#70#73,HBC005493193,50,85,30,6200,1800
28#33#139,HBC005493193,50,85,30,6200,1800
140#19#88,HBC005493193,50,85,30,6200,1800
138#74#7,HBC005493193,50,85,30,6200,1800
3#120#28,HBC005493193,50,85,30,6200,1800
19#54#37,HBC005493193,50,85,30,6200,1800
146#42#59,HBC005493193,50,85,30,6200,1800
135#91#149,HBC005493193,50,85,30,6200,1800
140#85#33,HBC005493193,50,85,30,6200,1800
84#14#5,HBC005493193,50,85,30,6200,1800
155#23#131,HBC005493193,50,85,30,6200,1800
107#109#26,HBC005493193,50,85,30,6200,1800
53#66#98,HBC005493193,50,85,30,6200,1800
117#148#134,HBC005493193,50,85,30,6200,1800
97#85#59,HBC005493193,50,85,30,6200,1800
28#6#70,HBC005493193,50,85,30,6200,1800
9#73#36,HBC005493193,50,85,30,6200,1800
104#133#138,HBC005493193,50,85,30,6200,1800
69#106#124,HBC005493193,50,85,30,6200,1800
19#102#10,HBC005493193,50,85,30,6200,1800
90#16#110,HBC005493193,50,85,30,6200,1800
140#80#33,HBC005493193,50,85,30,6200,1800
17#88#105,HBC005493193,50,85,30,6200,1800
127#68#93,HBC005493193,50,85,30,6200,1800
