color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
0#74#149,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-223.5, -12.0)","(0, 0)",0,0,2,-5.2471394538879395,2998.05126953125,386.0003662109375,1041.0,362.0,2991.5,405.0,0#74#149,0
0#86#114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(117.0, 0.0)","(0, 0)",0,0,2,-0.0,957.5,376.0,1064.0,264.0,958.0,376.5,0#114#114,0
0#92#184,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-16.5, 70.0)","(0, 0)",0,0,2,-0.0,3251.0,552.0,1041.0,362.0,3251.5,552.5,0#92#184,0
0#114#114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(117.0, 0.0)","(0, 0)",0,0,2,0.0,565.5,690.0,1064.0,264.0,566.0,690.5,0#114#114,0
0#255#127,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(117.0, 0.0)","(0, 0)",0,0,2,-0.0,2932.0,1014.0,1064.0,264.0,2932.5,1014.5,0#114#114,0
