color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
0#74#149,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-15.4998779296875, 58.0001220703125)","(0, 0)",0,0,2,-4,850,1030,1041,362,808.5,995,0#74#149,1
0#86#114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-116.0, 0.0)","(0, 0)",0,0,2,0,2841.5,1023,1064,264,2842,1023.5,0#114#114,0
0#92#184,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(17.5, -47.0)","(0, 0)",0,0,2,0,548,847,1041,362,548.5,847.5,0#92#184,0
0#114#114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-116.0, 0.0)","(0, 0)",0,0,2,0,3233.5,709,1064,264,3234,709.5,0#114#114,0
0#255#127,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-116.0, 0.0)","(0, 0)",0,0,2,0,867,385,1064,264,867.5,385.5,0#114#114,0
