,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,13606616,335,170,12,6000,1800
60#77#26,13606616,335,170,12,6000,1800
65#91#135,13606616,335,170,12,6000,1800
146#20#124,13606616,335,170,12,6000,1800
82#38#101,13606616,335,170,12,6000,1800
58#94#96,13606616,335,170,12,6000,1800
118#95#68,13606616,335,170,12,6000,1800
146#8#109,13606616,335,170,12,6000,1800
115#143#119,13606616,335,170,12,6000,1800
121#68#135,13606616,335,170,12,6000,1800
66#74#47,13606616,335,170,12,6000,1800
27#134#63,13606616,335,170,12,6000,1800
53#2#133,13606616,335,170,12,6000,1800
92#120#123,13606616,335,170,12,6000,1800
133#106#77,13606616,335,170,12,6000,1800
46#31#114,13606616,335,170,12,6000,1800
11#133#30,13606616,335,170,12,6000,1800
38#66#25,13606616,335,170,12,6000,1800
42#107#107,13606616,335,170,12,6000,1800
35#62#6,13606616,335,170,12,6000,1800
74#21#4,13606616,335,170,12,6000,1800
98#149#46,13606616,335,170,12,6000,1800
96#3#54,13606616,335,170,12,6000,1800
51#52#110,13606616,335,170,12,6000,1800
122#70#73,13606616,335,170,12,6000,1800
28#33#139,13606616,335,170,12,6000,1800
140#19#88,13606616,335,170,12,6000,1800
138#74#7,13606616,335,170,12,6000,1800
3#120#28,13606616,335,170,12,6000,1800
19#54#37,13606616,335,170,12,6000,1800
146#42#59,13606616,335,170,12,6000,1800
135#91#149,13606616,335,170,12,6000,1800
140#85#33,13606616,335,170,12,6000,1800
84#14#5,13606616,335,170,12,6000,1800
155#23#131,13606616,335,170,12,6000,1800
107#109#26,13606616,335,170,12,6000,1800
69#106#124,13606616,335,170,12,6000,1800
19#102#10,13606616,335,170,12,6000,1800
90#16#110,13606616,335,170,12,6000,1800
140#80#33,13606616,335,170,12,6000,1800
17#88#105,13606616,335,170,12,6000,1800
127#68#93,13606616,335,170,12,6000,1800
62#128#141,13606616,335,170,12,6000,1800
68#13#131,13606616,335,170,12,6000,1800
55#116#128,13606616,335,170,12,6000,1800
35#112#142,13606616,335,170,12,6000,1800
23#50#38,13606616,335,170,12,6000,1800
143#2#121,13606616,335,170,12,6000,1800
10#94#150,13606616,335,170,12,6000,1800
148#50#52,13606616,335,170,12,6000,1800
57#21#117,13606616,335,170,12,6000,1800
78#72#147,13606616,335,170,12,6000,1800
53#66#98,14364531,610,148,12,6000,1800
117#148#134,14364531,610,148,12,6000,1800
97#85#59,14364531,610,148,12,6000,1800
28#6#70,14364531,610,148,12,6000,1800
9#73#36,14364531,610,148,12,6000,1800
104#133#138,14364531,610,148,12,6000,1800
126#46#142,HBC004677872,204,355,12,6000,1800
147#44#16,HBC004677872,204,355,12,6000,1800
113#113#75,HBC004677872,204,355,12,6000,1800
121#31#103,HBC004677872,204,355,12,6000,1800
106#73#73,HBC004677872,204,355,12,6000,1800
