,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,14296142,137,176,20,6000,2200
65#91#135,14296142,137,176,20,6000,2200
82#38#101,14296142,137,176,20,6000,2200
118#95#68,14296142,137,176,20,6000,2200
115#143#119,14296142,137,176,20,6000,2200
66#74#47,14296142,137,176,20,6000,2200
53#2#133,14296142,137,176,20,6000,2200
133#106#77,14296142,137,176,20,6000,2200
11#133#30,14296142,137,176,20,6000,2200
42#107#107,14296142,137,176,20,6000,2200
74#21#4,14296142,137,176,20,6000,2200
96#3#54,14296142,137,176,20,6000,2200
122#70#73,14296142,137,176,20,6000,2200
140#19#88,14296142,137,176,20,6000,2200
3#120#28,14296142,137,176,20,6000,2200
146#42#59,14296142,137,176,20,6000,2200
140#85#33,14296142,137,176,20,6000,2200
155#23#131,14296142,137,176,20,6000,2200
53#66#98,14296142,137,176,20,6000,2200
97#85#59,14296142,137,176,20,6000,2200
9#73#36,14296142,137,176,20,6000,2200
69#106#124,14296142,137,176,20,6000,2200
90#16#110,14296142,137,176,20,6000,2200
17#88#105,14296142,137,176,20,6000,2200
62#128#141,14296142,137,176,20,6000,2200
55#116#128,14296142,137,176,20,6000,2200
23#50#38,14296142,137,176,20,6000,2200
10#94#150,14296142,137,176,20,6000,2200
57#21#117,14296142,137,176,20,6000,2200
126#46#142,14296142,137,176,20,6000,2200
113#113#75,14296142,137,176,20,6000,2200
106#73#73,14296142,137,176,20,6000,2200
19#29#104,14296142,137,176,20,6000,2200
9#24#42,14296142,137,176,20,6000,2200
82#130#2,14296142,137,176,20,6000,2200
71#31#128,14296142,137,176,20,6000,2200
115#149#111,14296142,137,176,20,6000,2200
64#83#50,14296142,137,176,20,6000,2200
37#112#89,14296142,137,176,20,6000,2200
129#116#86,14296142,137,176,20,6000,2200
127#117#22,14296142,137,176,20,6000,2200
51#27#82,14296142,137,176,20,6000,2200
37#48#138,14296142,137,176,20,6000,2200
20#155#66,14296142,137,176,20,6000,2200
21#151#44,14296142,137,176,20,6000,2200
126#144#90,14296142,137,176,20,6000,2200
136#131#138,14296142,137,176,20,6000,2200
49#109#95,14296142,137,176,20,6000,2200
103#97#51,14296142,137,176,20,6000,2200
148#49#138,14296142,137,176,20,6000,2200
116#55#19,14296142,137,176,20,6000,2200
151#89#148,14296142,137,176,20,6000,2200
63#148#108,14296142,137,176,20,6000,2200
71#58#117,14296142,137,176,20,6000,2200
54#80#126,14296142,137,176,20,6000,2200
