color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,255,255,255,255,255,15,0,0,0,0,0,0,0,0,0,0,"(0.0, -1.0)","(0, 0)",0,0,2,0.0,4846.500244140625,376.0001220703125,3096.0,742.0,4846.0,375.5,HBC004677891,0
65#91#135,255,255,255,255,255,15,0,0,0,0,0,0,0,0,0,0,"(0.0, -1.0)","(0, 0)",0,0,2,0.0,1736.5,376.0001220703125,3096.0,742.0,1736.0,375.5,HBC004677891,0
60#77#26,255,255,255,255,255,15,0,0,0,0,0,0,0,0,0,0,"(0.000244140625, -0.999755859375)","(0, 0)",0,0,2,0.0,4846.500244140625,1125.0000610351562,3095.99951171875,741.9998779296875,4846.0,1124.5,HBC004677898,0
146#20#124,255,255,255,255,255,15,0,0,0,0,0,0,0,0,0,0,"(0.000244140625, -0.999755859375)","(0, 0)",0,0,2,0.0,1736.5,1121.0000610351562,3095.99951171875,741.9998779296875,1736.0,1120.5,HBC004677898,0
