color_id,left_one,left_two,left_three,left_four,left_five,left_six,left_seven,left_eight,right_one,right_two,right_three,right_four,right_five,right_six,right_seven,right_eight,left_offset,right_offset,left_angleoffset,right_angleoffset,size,angle,center_x,center_y,width,height,bdcenter_x,bdcenter_x,part_class,part_rotation
60#151#139,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-130.4998779296875, -32.99993896484375)","(0, 0)",0,0,2,-0.0,2458.0,386.0,1622.999755859375,243.99996948242188,2458.5,386.5,13321336,0
60#77#26,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(130.4998779296875, 32.99993896484375)","(0, 0)",0,0,2,-0.0,2458.0,133.0,1622.999755859375,243.99996948242188,2458.5,133.5,13321336,1
146#20#124,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-130.4998779296875, -32.99993896484375)","(0, 0)",0,0,2,-0.0,823.0,892.0,1622.999755859375,243.99996948242188,823.5,892.5,13321336,0
82#38#101,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(130.4998779296875, 32.99993896484375)","(0, 0)",0,0,2,-0.0,823.0,639.0,1622.999755859375,243.99996948242188,823.5,639.5,13321336,1
118#95#68,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-130.4998779296875, -32.99993896484375)","(0, 0)",0,0,2,-0.0,823.0,386.0,1622.999755859375,243.99996948242188,823.5,386.5,13321336,0
146#8#109,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(130.4998779296875, 32.99993896484375)","(0, 0)",0,0,2,-0.0,823.0,133.0,1622.999755859375,243.99996948242188,823.5,133.5,13321336,1
121#68#135,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-130.4998779296875, -32.99993896484375)","(0, 0)",0,0,2,-0.0,2458.0,892.0,1622.999755859375,243.99996948242188,2458.5,892.5,13321336,0
66#74#47,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(130.4998779296875, 32.99993896484375)","(0, 0)",0,0,2,-0.0,2458.0,639.0,1622.999755859375,243.99996948242188,2458.5,639.5,13321336,1
107#109#26,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(130.4998779296875, 32.99993896484375)","(0, 0)",0,0,2,-0.0,4093.0,133.0,1622.999755859375,243.99996948242188,4093.5,133.5,13321336,1
65#91#135,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.5, -75.0)","(0, 0)",0,0,2,-0.0,2465.0,274.0,1367.0,132.0,2465.5,274.5,12925995,0
58#94#96,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.5, -75.0)","(0, 0)",0,0,2,-0.0,830.0,780.0,1367.0,132.0,830.5,780.5,12925995,0
115#143#119,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.5, -75.0)","(0, 0)",0,0,2,-0.0,830.0,274.0,1367.0,132.0,830.5,274.5,12925995,0
27#134#63,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-59.5, -75.0)","(0, 0)",0,0,2,-0.0,2465.0,780.0,1367.0,132.0,2465.5,780.5,12925995,0
53#2#133,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 98.5)","(0, 0)",0,0,2,-0.0,822.9998779296875,1669.5,1621.999755859375,176.99996948242188,823.5,1670.0,13321326,1
92#120#123,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -98.5)","(0, 0)",0,0,2,-0.0,822.9998779296875,1483.4998779296875,1621.999755859375,176.99996948242188,823.5,1484.0,13321326,0
38#66#25,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 98.5)","(0, 0)",0,0,2,-0.0,822.9998779296875,1297.4998779296875,1621.999755859375,176.99996948242188,823.5,1298.0,13321326,1
42#107#107,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -98.5)","(0, 0)",0,0,2,-0.0,822.9998779296875,1111.4998779296875,1621.999755859375,176.99996948242188,823.5,1112.0,13321326,0
51#52#110,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 98.5)","(0, 0)",0,0,2,-0.0,2458.0,1297.4998779296875,1621.999755859375,176.99996948242188,2458.5,1298.0,13321326,1
122#70#73,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -98.5)","(0, 0)",0,0,2,-0.0,2458.0,1111.4998779296875,1621.999755859375,176.99996948242188,2458.5,1112.0,13321326,0
19#54#37,255,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(129.9998779296875, 98.5)","(0, 0)",0,0,2,-0.0,2458.0,1669.5,1621.999755859375,176.99996948242188,2458.5,1670.0,13321326,1
146#42#59,0,128,255,63,0,0,0,0,0,0,0,0,0,0,0,0,"(-129.9998779296875, -98.5)","(0, 0)",0,0,2,-0.0,2458.0,1483.4998779296875,1621.999755859375,176.99996948242188,2458.5,1484.0,13321326,0
